  0%|                                                            | 0/4000 [00:00<?, ?it/s]/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:841: UserWarning: c10d::broadcast_: an autograd kernel was not registered to the Autograd key(s) but we are trying to backprop through it. This may lead to silently incorrect behavior. This behavior is deprecated and will be removed in a future version of PyTorch. If your operator is differentiable, please ensure you have registered an autograd kernel to the correct Autograd key (e.g. DispatchKey::Autograd, DispatchKey::CompositeImplicitAutograd). If your operator is not differentiable, or to squash this warning and use the previous behavior, please register torch::CppFunction::makeFallthrough() to DispatchKey::Autograd. (Triggered internally at /pytorch/torch/csrc/autograd/autograd_not_implemented_fallback.cpp:62.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/zero/stage3.py:1208: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                          
{'loss': 1.7812, 'grad_norm': 0.9359830663730564, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7734, 'grad_norm': 0.9059384566871458, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8438, 'grad_norm': 0.9385207659009702, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7734, 'grad_norm': 0.8644668929653715, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7422, 'grad_norm': 0.8811819496664516, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8438, 'grad_norm': 0.8992905257518458, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7031, 'grad_norm': 0.8864476802079713, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7656, 'grad_norm': 0.8845025823112301, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7578, 'grad_norm': 0.886111955100853, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8438, 'grad_norm': 0.9237703139945438, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.6484, 'grad_norm': 0.8533770625512921, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9375, 'grad_norm': 0.9546726356760173, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8047, 'grad_norm': 0.9270597876369763, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8828, 'grad_norm': 0.9894192743666768, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7734, 'grad_norm': 0.8928644234496688, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7266, 'grad_norm': 0.8539736149662902, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.5859, 'grad_norm': 0.8104362688088319, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.6562, 'grad_norm': 0.858160096497561, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.5703, 'grad_norm': 0.8036296520635493, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9766, 'grad_norm': 0.9152761374114611, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8594, 'grad_norm': 0.9677177590252297, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8125, 'grad_norm': 0.9178336835474589, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7812, 'grad_norm': 0.8902008652918768, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9766, 'grad_norm': 0.9930675538471219, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.6641, 'grad_norm': 0.873977063190117, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8047, 'grad_norm': 0.9074740857504382, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7891, 'grad_norm': 0.9036174553511206, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.7734, 'grad_norm': 0.8791536110244579, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9609, 'grad_norm': 0.9741062861108253, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8984, 'grad_norm': 0.9389616697895523, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8359, 'grad_norm': 0.9667751733675435, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9219, 'grad_norm': 0.9265349977474037, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9375, 'grad_norm': 0.9662995880154499, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.6953, 'grad_norm': 0.8555913689233733, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.7812, 'grad_norm': 0.8786588193381896, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.8984, 'grad_norm': 0.9502851359458431, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.8516, 'grad_norm': 0.9365799521855769, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9609, 'grad_norm': 0.955671067858291, 'learning_rate': 0.0002, 'epoch': 0.1}
